Year,Series,Units,Party/Municipality,Value
2008,Local governments,data.fowomenseats-number,Skopunar municipality,3.0
2008,Local governments,data.fowomenseats-number,Skúgvoyar municipality,1.0
2008,Local governments,data.fowomenseats-number,Sørvágs municipality,2.0
2008,Local governments,data.fowomenseats-number,Sumbiar municipality,1.0
2008,Local governments,data.fowomenseats-number,Sunda municipality,4.0
2008,Local governments,data.fowomenseats-number,Svínoyar municipality,
2008,Local governments,data.fowomenseats-number,Tórshavnar municipality,4.0
2008,Local governments,data.fowomenseats-number,Tvøroyrar municipality,1.0
2008,Local governments,data.fowomenseats-number,Vága municipality,4.0
2008,Local governments,data.fowomenseats-number,Vágs municipality,3.0
2008,Local governments,data.fowomenseats-number,Vestmanna municipality,3.0
2008,Local governments,data.fowomenseats-number,Viðareiðis municipality,0.0
2008,Local governments,data.foseats-number,All municipalities,208.0
2008,Local governments,data.foseats-number,Bíggjar municipality,
2008,Local governments,data.foseats-number,Eiðis municipality,7.0
2008,Local governments,data.foseats-number,Elduvíkar municipality,
2008,Local governments,data.foseats-number,Eysturmunicipality,9.0
2008,Local governments,data.foseats-number,Fámjins municipality,5.0
2008,Local governments,data.foseats-number,Fuglafjarðar municipality,9.0
2008,Local governments,data.foseats-number,Fugloyar municipality,3.0
2008,Local governments,data.foseats-number,Funnings municipality,
2008,Local governments,data.foseats-number,Gjáar municipality,
2008,Local governments,data.foseats-number,Gøtu municipality,
2008,Local governments,data.foseats-number,Haldórsvíkar municipality,
2008,Local governments,data.foseats-number,Hests municipality,
2008,Local governments,data.foseats-number,Hósvíkar municipality,
2008,Local governments,data.foseats-number,Hovs municipality,5.0
2008,Local governments,data.foseats-number,Húsa municipality,3.0
2008,Local governments,data.foseats-number,Húsavíkar municipality,5.0
2008,Local governments,data.foseats-number,Hvalbiar municipality,7.0
2008,Local governments,data.foseats-number,Hvalvíkar municipality,
2008,Local governments,data.foseats-number,Hvannasunds municipality,5.0
2008,Local governments,data.foseats-number,Kirkjubøar municipality,
2008,Local governments,data.foseats-number,Klaksvíkar municipality,11.0
2008,Local governments,data.foseats-number,Kunoyar municipality,5.0
2008,Local governments,data.foseats-number,Kvívíkar municipality,7.0
2008,Local governments,data.foseats-number,Leirvíkar municipality,
2008,Local governments,data.foseats-number,Miðvágs municipality,
2008,Local governments,data.foseats-number,Mikladals municipality,
2008,Local governments,data.foseats-number,Mykines municipality,
2008,Local governments,data.foseats-number,Nes municipality,7.0
2008,Local governments,data.foseats-number,Nólsoyar municipality,
2008,Local governments,data.foseats-number,Oyndarfjarðar municipality,
2008,Local governments,data.foseats-number,Porkeris municipality,5.0
2008,Local governments,data.foseats-number,Runavíkar municipality,11.0
2008,Local governments,data.foseats-number,Saksunar municipality,
2008,Local governments,data.foseats-number,Sandavágs municipality,
2008,Local governments,data.foseats-number,Sands municipality,7.0
2008,Local governments,data.foseats-number,Sjóvar municipality,7.0
2008,Local governments,data.foseats-number,Skála municipality,
2008,Local governments,data.foseats-number,Skálavíkar municipality,5.0
2008,Local governments,data.foseats-number,Skopunar municipality,7.0
2008,Local governments,data.foseats-number,Skúgvoyar municipality,3.0
2008,Local governments,data.foseats-number,Sørvágs municipality,7.0
2008,Local governments,data.foseats-number,Sumbiar municipality,5.0
2008,Local governments,data.foseats-number,Sunda municipality,11.0
2008,Local governments,data.foseats-number,Svínoyar municipality,
2008,Local governments,data.foseats-number,Tórshavnar municipality,13.0
2008,Local governments,data.foseats-number,Tvøroyrar municipality,7.0
2008,Local governments,data.foseats-number,Vága municipality,11.0
2008,Local governments,data.foseats-number,Vágs municipality,9.0
2008,Local governments,data.foseats-number,Vestmanna municipality,7.0
2008,Local governments,data.foseats-number,Viðareiðis municipality,5.0
2012,Local governments,data.fowomenseats-proportion,All municipalities,27.8
2012,Local governments,data.fowomenseats-proportion,Bíggjar municipality,
2012,Local governments,data.fowomenseats-proportion,Eiðis municipality,14.3
2012,Local governments,data.fowomenseats-proportion,Elduvíkar municipality,
2012,Local governments,data.fowomenseats-proportion,Eysturmunicipality,33.3
2012,Local governments,data.fowomenseats-proportion,Fámjins municipality,42.9
2012,Local governments,data.fowomenseats-proportion,Fuglafjarðar municipality,11.1
2012,Local governments,data.fowomenseats-proportion,Fugloyar municipality,33.3
2012,Local governments,data.fowomenseats-proportion,Funnings municipality,
2012,Local governments,data.fowomenseats-proportion,Gjáar municipality,
2012,Local governments,data.fowomenseats-proportion,Gøtu municipality,
2012,Local governments,data.fowomenseats-proportion,Haldórsvíkar municipality,
2012,Local governments,data.fowomenseats-proportion,Hests municipality,
2012,Local governments,data.fowomenseats-proportion,Hósvíkar municipality,
2012,Local governments,data.fowomenseats-proportion,Hovs municipality,40.0
2012,Local governments,data.fowomenseats-proportion,Húsa municipality,
2012,Local governments,data.fowomenseats-proportion,Húsavíkar municipality,40.0
2012,Local governments,data.fowomenseats-proportion,Hvalbiar municipality,0.0
2012,Local governments,data.fowomenseats-proportion,Hvalvíkar municipality,
2012,Local governments,data.fowomenseats-proportion,Hvannasunds municipality,40.0
2012,Local governments,data.fowomenseats-proportion,Kirkjubøar municipality,
2012,Local governments,data.fowomenseats-proportion,Klaksvíkar municipality,45.5
2012,Local governments,data.fowomenseats-proportion,Kunoyar municipality,40.0
2012,Local governments,data.fowomenseats-proportion,Kvívíkar municipality,42.9
2012,Local governments,data.fowomenseats-proportion,Leirvíkar municipality,
2012,Local governments,data.fowomenseats-proportion,Miðvágs municipality,
2012,Local governments,data.fowomenseats-proportion,Mikladals municipality,
2012,Local governments,data.fowomenseats-proportion,Mykines municipality,
2012,Local governments,data.fowomenseats-proportion,Nes municipality,28.6
2012,Local governments,data.fowomenseats-proportion,Nólsoyar municipality,
2012,Local governments,data.fowomenseats-proportion,Oyndarfjarðar municipality,
2012,Local governments,data.fowomenseats-proportion,Porkeris municipality,20.0
2012,Local governments,data.fowomenseats-proportion,Runavíkar municipality,9.1
2012,Local governments,data.fowomenseats-proportion,Saksunar municipality,
2012,Local governments,data.fowomenseats-proportion,Sandavágs municipality,
2012,Local governments,data.fowomenseats-proportion,Sands municipality,0.0
2012,Local governments,data.fowomenseats-proportion,Sjóvar municipality,14.3
2012,Local governments,data.fowomenseats-proportion,Skála municipality,
2012,Local governments,data.fowomenseats-proportion,Skálavíkar municipality,60.0
2012,Local governments,data.fowomenseats-proportion,Skopunar municipality,40.0
2012,Local governments,data.fowomenseats-proportion,Skúgvoyar municipality,33.3
2012,Local governments,data.fowomenseats-proportion,Sørvágs municipality,14.3
2012,Local governments,data.fowomenseats-proportion,Sumbiar municipality,0.0
2012,Local governments,data.fowomenseats-proportion,Sunda municipality,27.3
2012,Local governments,data.fowomenseats-proportion,Svínoyar municipality,
2012,Local governments,data.fowomenseats-proportion,Tórshavnar municipality,46.2
2012,Local governments,data.fowomenseats-proportion,Tvøroyrar municipality,42.9
2012,Local governments,data.fowomenseats-proportion,Vága municipality,18.2
2012,Local governments,data.fowomenseats-proportion,Vágs municipality,33.3
2012,Local governments,data.fowomenseats-proportion,Vestmanna municipality,42.9
2012,Local governments,data.fowomenseats-proportion,Viðareiðis municipality,0.0
2012,Local governments,data.fowomenseats-number,All municipalities,57.0
2012,Local governments,data.fowomenseats-number,Bíggjar municipality,
2012,Local governments,data.fowomenseats-number,Eiðis municipality,1.0
2012,Local governments,data.fowomenseats-number,Elduvíkar municipality,
2012,Local governments,data.fowomenseats-number,Eysturmunicipality,3.0
2012,Local governments,data.fowomenseats-number,Fámjins municipality,3.0
2012,Local governments,data.fowomenseats-number,Fuglafjarðar municipality,1.0
2012,Local governments,data.fowomenseats-number,Fugloyar municipality,1.0
2012,Local governments,data.fowomenseats-number,Funnings municipality,
2012,Local governments,data.fowomenseats-number,Gjáar municipality,
2012,Local governments,data.fowomenseats-number,Gøtu municipality,
2012,Local governments,data.fowomenseats-number,Haldórsvíkar municipality,
2012,Local governments,data.fowomenseats-number,Hests municipality,
2012,Local governments,data.fowomenseats-number,Hósvíkar municipality,
2012,Local governments,data.fowomenseats-number,Hovs municipality,2.0
2012,Local governments,data.fowomenseats-number,Húsa municipality,
2012,Local governments,data.fowomenseats-number,Húsavíkar municipality,2.0
2012,Local governments,data.fowomenseats-number,Hvalbiar municipality,0.0
2012,Local governments,data.fowomenseats-number,Hvalvíkar municipality,
2012,Local governments,data.fowomenseats-number,Hvannasunds municipality,2.0
2012,Local governments,data.fowomenseats-number,Kirkjubøar municipality,
2012,Local governments,data.fowomenseats-number,Klaksvíkar municipality,5.0
2012,Local governments,data.fowomenseats-number,Kunoyar municipality,2.0
2012,Local governments,data.fowomenseats-number,Kvívíkar municipality,3.0
2012,Local governments,data.fowomenseats-number,Leirvíkar municipality,
2012,Local governments,data.fowomenseats-number,Miðvágs municipality,
2012,Local governments,data.fowomenseats-number,Mikladals municipality,
2012,Local governments,data.fowomenseats-number,Mykines municipality,
2012,Local governments,data.fowomenseats-number,Nes municipality,2.0
2012,Local governments,data.fowomenseats-number,Nólsoyar municipality,
2012,Local governments,data.fowomenseats-number,Oyndarfjarðar municipality,
2012,Local governments,data.fowomenseats-number,Porkeris municipality,1.0
2012,Local governments,data.fowomenseats-number,Runavíkar municipality,1.0
2012,Local governments,data.fowomenseats-number,Saksunar municipality,
2012,Local governments,data.fowomenseats-number,Sandavágs municipality,
2012,Local governments,data.fowomenseats-number,Sands municipality,0.0
2012,Local governments,data.fowomenseats-number,Sjóvar municipality,1.0
2012,Local governments,data.fowomenseats-number,Skála municipality,
2012,Local governments,data.fowomenseats-number,Skálavíkar municipality,3.0
2012,Local governments,data.fowomenseats-number,Skopunar municipality,2.0
2012,Local governments,data.fowomenseats-number,Skúgvoyar municipality,1.0
2012,Local governments,data.fowomenseats-number,Sørvágs municipality,1.0
2012,Local governments,data.fowomenseats-number,Sumbiar municipality,0.0
2012,Local governments,data.fowomenseats-number,Sunda municipality,3.0
2012,Local governments,data.fowomenseats-number,Svínoyar municipality,
2012,Local governments,data.fowomenseats-number,Tórshavnar municipality,6.0
2012,Local governments,data.fowomenseats-number,Tvøroyrar municipality,3.0
2012,Local governments,data.fowomenseats-number,Vága municipality,2.0
2012,Local governments,data.fowomenseats-number,Vágs municipality,3.0
2012,Local governments,data.fowomenseats-number,Vestmanna municipality,3.0
2012,Local governments,data.fowomenseats-number,Viðareiðis municipality,0.0
2012,Local governments,data.foseats-number,All municipalities,205.0
2012,Local governments,data.foseats-number,Bíggjar municipality,
2012,Local governments,data.foseats-number,Eiðis municipality,7.0
2012,Local governments,data.foseats-number,Elduvíkar municipality,
2012,Local governments,data.foseats-number,Eysturmunicipality,9.0
2012,Local governments,data.foseats-number,Fámjins municipality,7.0
2012,Local governments,data.foseats-number,Fuglafjarðar municipality,9.0
2012,Local governments,data.foseats-number,Fugloyar municipality,3.0
2012,Local governments,data.foseats-number,Funnings municipality,
2012,Local governments,data.foseats-number,Gjáar municipality,
2012,Local governments,data.foseats-number,Gøtu municipality,
2012,Local governments,data.foseats-number,Haldórsvíkar municipality,
2012,Local governments,data.foseats-number,Hests municipality,
2012,Local governments,data.foseats-number,Hósvíkar municipality,
2012,Local governments,data.foseats-number,Hovs municipality,5.0
2012,Local governments,data.foseats-number,Húsa municipality,
2012,Local governments,data.foseats-number,Húsavíkar municipality,5.0
2012,Local governments,data.foseats-number,Hvalbiar municipality,7.0
2012,Local governments,data.foseats-number,Hvalvíkar municipality,
2012,Local governments,data.foseats-number,Hvannasunds municipality,5.0
2012,Local governments,data.foseats-number,Kirkjubøar municipality,
2012,Local governments,data.foseats-number,Klaksvíkar municipality,11.0
2012,Local governments,data.foseats-number,Kunoyar municipality,5.0
2012,Local governments,data.foseats-number,Kvívíkar municipality,7.0
2012,Local governments,data.foseats-number,Leirvíkar municipality,
2012,Local governments,data.foseats-number,Miðvágs municipality,
2012,Local governments,data.foseats-number,Mikladals municipality,
2012,Local governments,data.foseats-number,Mykines municipality,
2012,Local governments,data.foseats-number,Nes municipality,7.0
2012,Local governments,data.foseats-number,Nólsoyar municipality,
2012,Local governments,data.foseats-number,Oyndarfjarðar municipality,
2012,Local governments,data.foseats-number,Porkeris municipality,5.0
2012,Local governments,data.foseats-number,Runavíkar municipality,11.0
2012,Local governments,data.foseats-number,Saksunar municipality,
2012,Local governments,data.foseats-number,Sandavágs municipality,
2012,Local governments,data.foseats-number,Sands municipality,7.0
2012,Local governments,data.foseats-number,Sjóvar municipality,7.0
2012,Local governments,data.foseats-number,Skála municipality,
2012,Local governments,data.foseats-number,Skálavíkar municipality,5.0
2012,Local governments,data.foseats-number,Skopunar municipality,5.0
2012,Local governments,data.foseats-number,Skúgvoyar municipality,3.0
2012,Local governments,data.foseats-number,Sørvágs municipality,7.0
2012,Local governments,data.foseats-number,Sumbiar municipality,5.0
2012,Local governments,data.foseats-number,Sunda municipality,11.0
2012,Local governments,data.foseats-number,Svínoyar municipality,
2012,Local governments,data.foseats-number,Tórshavnar municipality,13.0
2012,Local governments,data.foseats-number,Tvøroyrar municipality,7.0
2012,Local governments,data.foseats-number,Vága municipality,11.0
2012,Local governments,data.foseats-number,Vágs municipality,9.0
2012,Local governments,data.foseats-number,Vestmanna municipality,7.0
2012,Local governments,data.foseats-number,Viðareiðis municipality,5.0
2016,Local governments,data.fowomenseats-proportion,All municipalities,33.8
2016,Local governments,data.fowomenseats-proportion,Bíggjar municipality,
2016,Local governments,data.fowomenseats-proportion,Eiðis municipality,14.3
2016,Local governments,data.fowomenseats-proportion,Elduvíkar municipality,
2016,Local governments,data.fowomenseats-proportion,Eysturmunicipality,22.2
2016,Local governments,data.fowomenseats-proportion,Fámjins municipality,0.0
2016,Local governments,data.fowomenseats-proportion,Fuglafjarðar municipality,11.1
2016,Local governments,data.fowomenseats-proportion,Fugloyar municipality,66.7
2016,Local governments,data.fowomenseats-proportion,Funnings municipality,
2016,Local governments,data.fowomenseats-proportion,Gjáar municipality,
2016,Local governments,data.fowomenseats-proportion,Gøtu municipality,
2016,Local governments,data.fowomenseats-proportion,Haldórsvíkar municipality,
2016,Local governments,data.fowomenseats-proportion,Hests municipality,
2016,Local governments,data.fowomenseats-proportion,Hósvíkar municipality,
2016,Local governments,data.fowomenseats-proportion,Hovs municipality,40.0
2016,Local governments,data.fowomenseats-proportion,Húsa municipality,
2016,Local governments,data.fowomenseats-proportion,Húsavíkar municipality,60.0
2016,Local governments,data.fowomenseats-proportion,Hvalbiar municipality,28.6
2016,Local governments,data.fowomenseats-proportion,Hvalvíkar municipality,
2016,Local governments,data.fowomenseats-proportion,Hvannasunds municipality,40.0
2016,Local governments,data.fowomenseats-proportion,Kirkjubøar municipality,
2016,Local governments,data.fowomenseats-proportion,Klaksvíkar municipality,36.4
2016,Local governments,data.fowomenseats-proportion,Kunoyar municipality,40.0
2016,Local governments,data.fowomenseats-proportion,Kvívíkar municipality,42.9
2016,Local governments,data.fowomenseats-proportion,Leirvíkar municipality,
2016,Local governments,data.fowomenseats-proportion,Miðvágs municipality,
2016,Local governments,data.fowomenseats-proportion,Mikladals municipality,
2016,Local governments,data.fowomenseats-proportion,Mykines municipality,
2016,Local governments,data.fowomenseats-proportion,Nes municipality,14.3
2016,Local governments,data.fowomenseats-proportion,Nólsoyar municipality,
2016,Local governments,data.fowomenseats-proportion,Oyndarfjarðar municipality,
2016,Local governments,data.fowomenseats-proportion,Porkeris municipality,40.0
2016,Local governments,data.fowomenseats-proportion,Runavíkar municipality,27.3
2016,Local governments,data.fowomenseats-proportion,Saksunar municipality,
2016,Local governments,data.fowomenseats-proportion,Sandavágs municipality,
2016,Local governments,data.fowomenseats-proportion,Sands municipality,14.3
2016,Local governments,data.fowomenseats-proportion,Sjóvar municipality,14.3
2016,Local governments,data.fowomenseats-proportion,Skála municipality,
2016,Local governments,data.fowomenseats-proportion,Skálavíkar municipality,60.0
2016,Local governments,data.fowomenseats-proportion,Skopunar municipality,40.0
2016,Local governments,data.fowomenseats-proportion,Skúgvoyar municipality,0.0
2016,Local governments,data.fowomenseats-proportion,Sørvágs municipality,57.1
2016,Local governments,data.fowomenseats-proportion,Sumbiar municipality,0.0
2016,Local governments,data.fowomenseats-proportion,Sunda municipality,36.4
2016,Local governments,data.fowomenseats-proportion,Svínoyar municipality,
2016,Local governments,data.fowomenseats-proportion,Tórshavnar municipality,61.5
2016,Local governments,data.fowomenseats-proportion,Tvøroyrar municipality,42.9
2016,Local governments,data.fowomenseats-proportion,Vága municipality,27.3
2016,Local governments,data.fowomenseats-proportion,Vágs municipality,44.4
2016,Local governments,data.fowomenseats-proportion,Vestmanna municipality,42.9
2016,Local governments,data.fowomenseats-proportion,Viðareiðis municipality,40.0
2016,Local governments,data.fowomenseats-number,All municipalities,68.0
2016,Local governments,data.fowomenseats-number,Bíggjar municipality,
2016,Local governments,data.fowomenseats-number,Eiðis municipality,1.0
2016,Local governments,data.fowomenseats-number,Elduvíkar municipality,
2016,Local governments,data.fowomenseats-number,Eysturmunicipality,2.0
2016,Local governments,data.fowomenseats-number,Fámjins municipality,0.0
2016,Local governments,data.fowomenseats-number,Fuglafjarðar municipality,1.0
2016,Local governments,data.fowomenseats-number,Fugloyar municipality,2.0
2016,Local governments,data.fowomenseats-number,Funnings municipality,
2016,Local governments,data.fowomenseats-number,Gjáar municipality,
2016,Local governments,data.fowomenseats-number,Gøtu municipality,
2016,Local governments,data.fowomenseats-number,Haldórsvíkar municipality,
2016,Local governments,data.fowomenseats-number,Hests municipality,
2016,Local governments,data.fowomenseats-number,Hósvíkar municipality,
2016,Local governments,data.fowomenseats-number,Hovs municipality,2.0
2016,Local governments,data.fowomenseats-number,Húsa municipality,
2016,Local governments,data.fowomenseats-number,Húsavíkar municipality,3.0
2016,Local governments,data.fowomenseats-number,Hvalbiar municipality,2.0
2016,Local governments,data.fowomenseats-number,Hvalvíkar municipality,
2016,Local governments,data.fowomenseats-number,Hvannasunds municipality,2.0
2016,Local governments,data.fowomenseats-number,Kirkjubøar municipality,
2016,Local governments,data.fowomenseats-number,Klaksvíkar municipality,4.0
2016,Local governments,data.fowomenseats-number,Kunoyar municipality,2.0
2016,Local governments,data.fowomenseats-number,Kvívíkar municipality,3.0
2016,Local governments,data.fowomenseats-number,Leirvíkar municipality,
2016,Local governments,data.fowomenseats-number,Miðvágs municipality,
2016,Local governments,data.fowomenseats-number,Mikladals municipality,
2016,Local governments,data.fowomenseats-number,Mykines municipality,
2016,Local governments,data.fowomenseats-number,Nes municipality,1.0
2016,Local governments,data.fowomenseats-number,Nólsoyar municipality,
2016,Local governments,data.fowomenseats-number,Oyndarfjarðar municipality,
2016,Local governments,data.fowomenseats-number,Porkeris municipality,2.0
2016,Local governments,data.fowomenseats-number,Runavíkar municipality,3.0
2016,Local governments,data.fowomenseats-number,Saksunar municipality,
2016,Local governments,data.fowomenseats-number,Sandavágs municipality,
2016,Local governments,data.fowomenseats-number,Sands municipality,1.0
2016,Local governments,data.fowomenseats-number,Sjóvar municipality,1.0
2016,Local governments,data.fowomenseats-number,Skála municipality,
2016,Local governments,data.fowomenseats-number,Skálavíkar municipality,3.0
2016,Local governments,data.fowomenseats-number,Skopunar municipality,2.0
2016,Local governments,data.fowomenseats-number,Skúgvoyar municipality,0.0
2016,Local governments,data.fowomenseats-number,Sørvágs municipality,4.0
2016,Local governments,data.fowomenseats-number,Sumbiar municipality,0.0
2016,Local governments,data.fowomenseats-number,Sunda municipality,4.0
2016,Local governments,data.fowomenseats-number,Svínoyar municipality,
2016,Local governments,data.fowomenseats-number,Tórshavnar municipality,8.0
2016,Local governments,data.fowomenseats-number,Tvøroyrar municipality,3.0
2016,Local governments,data.fowomenseats-number,Vága municipality,3.0
2016,Local governments,data.fowomenseats-number,Vágs municipality,4.0
2016,Local governments,data.fowomenseats-number,Vestmanna municipality,3.0
2016,Local governments,data.fowomenseats-number,Viðareiðis municipality,2.0
2016,Local governments,data.foseats-number,All municipalities,201.0
2016,Local governments,data.foseats-number,Bíggjar municipality,
2016,Local governments,data.foseats-number,Eiðis municipality,7.0
2016,Local governments,data.foseats-number,Elduvíkar municipality,
2016,Local governments,data.foseats-number,Eysturmunicipality,9.0
2016,Local governments,data.foseats-number,Fámjins municipality,3.0
2016,Local governments,data.foseats-number,Fuglafjarðar municipality,9.0
2016,Local governments,data.foseats-number,Fugloyar municipality,3.0
2016,Local governments,data.foseats-number,Funnings municipality,
2016,Local governments,data.foseats-number,Gjáar municipality,
2016,Local governments,data.foseats-number,Gøtu municipality,
2016,Local governments,data.foseats-number,Haldórsvíkar municipality,
2016,Local governments,data.foseats-number,Hests municipality,
2016,Local governments,data.foseats-number,Hósvíkar municipality,
2016,Local governments,data.foseats-number,Hovs municipality,5.0
2016,Local governments,data.foseats-number,Húsa municipality,
2016,Local governments,data.foseats-number,Húsavíkar municipality,5.0
2016,Local governments,data.foseats-number,Hvalbiar municipality,7.0
2016,Local governments,data.foseats-number,Hvalvíkar municipality,
2016,Local governments,data.foseats-number,Hvannasunds municipality,5.0
2016,Local governments,data.foseats-number,Kirkjubøar municipality,
2016,Local governments,data.foseats-number,Klaksvíkar municipality,11.0
2016,Local governments,data.foseats-number,Kunoyar municipality,5.0
2016,Local governments,data.foseats-number,Kvívíkar municipality,7.0
2016,Local governments,data.foseats-number,Leirvíkar municipality,
2016,Local governments,data.foseats-number,Miðvágs municipality,
2016,Local governments,data.foseats-number,Mikladals municipality,
2016,Local governments,data.foseats-number,Mykines municipality,
2016,Local governments,data.foseats-number,Nes municipality,7.0
2016,Local governments,data.foseats-number,Nólsoyar municipality,
2016,Local governments,data.foseats-number,Oyndarfjarðar municipality,
2016,Local governments,data.foseats-number,Porkeris municipality,5.0
2016,Local governments,data.foseats-number,Runavíkar municipality,11.0
2016,Local governments,data.foseats-number,Saksunar municipality,
2016,Local governments,data.foseats-number,Sandavágs municipality,
2016,Local governments,data.foseats-number,Sands municipality,7.0
2016,Local governments,data.foseats-number,Sjóvar municipality,7.0
2016,Local governments,data.foseats-number,Skála municipality,
2016,Local governments,data.foseats-number,Skálavíkar municipality,5.0
2016,Local governments,data.foseats-number,Skopunar municipality,5.0
2016,Local governments,data.foseats-number,Skúgvoyar municipality,3.0
2016,Local governments,data.foseats-number,Sørvágs municipality,7.0
2016,Local governments,data.foseats-number,Sumbiar municipality,5.0
2016,Local governments,data.foseats-number,Sunda municipality,11.0
2016,Local governments,data.foseats-number,Svínoyar municipality,
2016,Local governments,data.foseats-number,Tórshavnar municipality,13.0
2016,Local governments,data.foseats-number,Tvøroyrar municipality,7.0
2016,Local governments,data.foseats-number,Vága municipality,11.0
2016,Local governments,data.foseats-number,Vágs municipality,9.0
2016,Local governments,data.foseats-number,Vestmanna municipality,7.0
2016,Local governments,data.foseats-number,Viðareiðis municipality,5.0
2020,Local governments,data.fowomenseats-proportion,All municipalities,35.7
2020,Local governments,data.fowomenseats-proportion,Bíggjar municipality,
2020,Local governments,data.fowomenseats-proportion,Eiðis municipality,57.1
2020,Local governments,data.fowomenseats-proportion,Elduvíkar municipality,
2020,Local governments,data.fowomenseats-proportion,Eysturmunicipality,44.4
2020,Local governments,data.fowomenseats-proportion,Fámjins municipality,0.0
2020,Local governments,data.fowomenseats-proportion,Fuglafjarðar municipality,22.2
2020,Local governments,data.fowomenseats-proportion,Fugloyar municipality,66.7
2020,Local governments,data.fowomenseats-proportion,Funnings municipality,
2020,Local governments,data.fowomenseats-proportion,Gjáar municipality,
2020,Local governments,data.fowomenseats-proportion,Gøtu municipality,
2020,Local governments,data.fowomenseats-proportion,Haldórsvíkar municipality,
2020,Local governments,data.fowomenseats-proportion,Hests municipality,
2020,Local governments,data.fowomenseats-proportion,Hósvíkar municipality,
2020,Local governments,data.fowomenseats-proportion,Hovs municipality,33.3
2020,Local governments,data.fowomenseats-proportion,Húsa municipality,
2020,Local governments,data.fowomenseats-proportion,Húsavíkar municipality,40.0
2020,Local governments,data.fowomenseats-proportion,Hvalbiar municipality,28.6
2020,Local governments,data.fowomenseats-proportion,Hvalvíkar municipality,
2020,Local governments,data.fowomenseats-proportion,Hvannasunds municipality,80.0
2020,Local governments,data.fowomenseats-proportion,Kirkjubøar municipality,
2020,Local governments,data.fowomenseats-proportion,Klaksvíkar municipality,36.4
2020,Local governments,data.fowomenseats-proportion,Kunoyar municipality,20.0
2020,Local governments,data.fowomenseats-proportion,Kvívíkar municipality,42.9
2020,Local governments,data.fowomenseats-proportion,Leirvíkar municipality,
2020,Local governments,data.fowomenseats-proportion,Miðvágs municipality,
2020,Local governments,data.fowomenseats-proportion,Mikladals municipality,
2020,Local governments,data.fowomenseats-proportion,Mykines municipality,
2020,Local governments,data.fowomenseats-proportion,Nes municipality,28.6
2020,Local governments,data.fowomenseats-proportion,Nólsoyar municipality,
2020,Local governments,data.fowomenseats-proportion,Oyndarfjarðar municipality,
2020,Local governments,data.fowomenseats-proportion,Porkeris municipality,40.0
2020,Local governments,data.fowomenseats-proportion,Runavíkar municipality,36.4
2020,Local governments,data.fowomenseats-proportion,Saksunar municipality,
2020,Local governments,data.fowomenseats-proportion,Sandavágs municipality,
2020,Local governments,data.fowomenseats-proportion,Sands municipality,42.9
2020,Local governments,data.fowomenseats-proportion,Sjóvar municipality,0.0
2020,Local governments,data.fowomenseats-proportion,Skála municipality,
2020,Local governments,data.fowomenseats-proportion,Skálavíkar municipality,20.0
2020,Local governments,data.fowomenseats-proportion,Skopunar municipality,40.0
2020,Local governments,data.fowomenseats-proportion,Skúgvoyar municipality,0.0
2020,Local governments,data.fowomenseats-proportion,Sørvágs municipality,28.6
2020,Local governments,data.fowomenseats-proportion,Sumbiar municipality,40.0
2020,Local governments,data.fowomenseats-proportion,Sunda municipality,9.1
2020,Local governments,data.fowomenseats-proportion,Svínoyar municipality,
2020,Local governments,data.fowomenseats-proportion,Tórshavnar municipality,53.8
2020,Local governments,data.fowomenseats-proportion,Tvøroyrar municipality,42.9
2020,Local governments,data.fowomenseats-proportion,Vága municipality,45.5
2020,Local governments,data.fowomenseats-proportion,Vágs municipality,33.3
2020,Local governments,data.fowomenseats-proportion,Vestmanna municipality,57.1
2020,Local governments,data.fowomenseats-proportion,Viðareiðis municipality,20.0
2020,Local governments,data.fowomenseats-number,All municipalities,71.0
2020,Local governments,data.fowomenseats-number,Bíggjar municipality,
2020,Local governments,data.fowomenseats-number,Eiðis municipality,4.0
2020,Local governments,data.fowomenseats-number,Elduvíkar municipality,
2020,Local governments,data.fowomenseats-number,Eysturmunicipality,4.0
2020,Local governments,data.fowomenseats-number,Fámjins municipality,0.0
2020,Local governments,data.fowomenseats-number,Fuglafjarðar municipality,2.0
2020,Local governments,data.fowomenseats-number,Fugloyar municipality,2.0
2020,Local governments,data.fowomenseats-number,Funnings municipality,
2020,Local governments,data.fowomenseats-number,Gjáar municipality,
2020,Local governments,data.fowomenseats-number,Gøtu municipality,
2020,Local governments,data.fowomenseats-number,Haldórsvíkar municipality,
2020,Local governments,data.fowomenseats-number,Hests municipality,
2020,Local governments,data.fowomenseats-number,Hósvíkar municipality,
2020,Local governments,data.fowomenseats-number,Hovs municipality,1.0
2020,Local governments,data.fowomenseats-number,Húsa municipality,
2020,Local governments,data.fowomenseats-number,Húsavíkar municipality,2.0
2020,Local governments,data.fowomenseats-number,Hvalbiar municipality,2.0
2020,Local governments,data.fowomenseats-number,Hvalvíkar municipality,
2020,Local governments,data.fowomenseats-number,Hvannasunds municipality,4.0
2020,Local governments,data.fowomenseats-number,Kirkjubøar municipality,
2020,Local governments,data.fowomenseats-number,Klaksvíkar municipality,4.0
2020,Local governments,data.fowomenseats-number,Kunoyar municipality,1.0
2020,Local governments,data.fowomenseats-number,Kvívíkar municipality,3.0
2020,Local governments,data.fowomenseats-number,Leirvíkar municipality,
2020,Local governments,data.fowomenseats-number,Miðvágs municipality,
