Year,Series,region,sex,age,Units,GeoCode,Value
2009,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,00-17 years,pct.,4300,6.6
2010,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,00-17 years,pct.,4300,4.1
2011,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,00-17 years,pct.,4300,6.2
2012,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,00-17 years,pct.,4300,8.4
2013,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,00-17 years,pct.,4300,7.0
2014,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,00-17 years,pct.,4300,6.3
2015,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,00-17 years,pct.,4300,4.3
2016,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,00-17 years,pct.,4300,4.1
2017,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,00-17 years,pct.,4300,4.7
2018,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,00-17 years,pct.,4300,3.0
2019,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,00-17 years,pct.,4300,2.7
2020,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,00-17 years,pct.,4300,2.3
2021,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,00-17 years,pct.,4300,3.6
2022,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,00-17 years,pct.,4300,4.0
2009,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,18-24 years,pct.,4300,3.1
2010,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,18-24 years,pct.,4300,2.7
2011,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,18-24 years,pct.,4300,6.1
2012,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,18-24 years,pct.,4300,5.3
2013,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,18-24 years,pct.,4300,4.8
2014,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,18-24 years,pct.,4300,3.0
2015,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,18-24 years,pct.,4300,1.8
2016,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,18-24 years,pct.,4300,3.2
2017,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,18-24 years,pct.,4300,3.5
2018,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,18-24 years,pct.,4300,1.0
2019,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,18-24 years,pct.,4300,0.3
2020,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,18-24 years,pct.,4300,2.3
2021,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,18-24 years,pct.,4300,1.0
2022,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,18-24 years,pct.,4300,1.3
2009,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,25-54 years,pct.,4300,2.9
2010,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,25-54 years,pct.,4300,2.7
2011,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,25-54 years,pct.,4300,3.7
2012,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,25-54 years,pct.,4300,4.4
2013,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,25-54 years,pct.,4300,3.8
2014,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,25-54 years,pct.,4300,3.3
2015,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,25-54 years,pct.,4300,3.2
2016,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,25-54 years,pct.,4300,2.9
2017,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,25-54 years,pct.,4300,2.6
2018,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,25-54 years,pct.,4300,2.1
2019,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,25-54 years,pct.,4300,2.4
2020,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,25-54 years,pct.,4300,1.5
2021,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,25-54 years,pct.,4300,2.5
2022,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,25-54 years,pct.,4300,2.5
2009,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,55-66 years,pct.,4300,3.8
2010,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,55-66 years,pct.,4300,4.2
2011,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,55-66 years,pct.,4300,2.0
2012,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,55-66 years,pct.,4300,2.5
2013,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,55-66 years,pct.,4300,3.0
2014,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,55-66 years,pct.,4300,3.1
2015,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,55-66 years,pct.,4300,2.3
2016,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,55-66 years,pct.,4300,3.5
2017,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,55-66 years,pct.,4300,3.2
2018,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,55-66 years,pct.,4300,2.9
2019,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,55-66 years,pct.,4300,2.4
2020,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,55-66 years,pct.,4300,2.4
2021,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,55-66 years,pct.,4300,2.3
2022,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,55-66 years,pct.,4300,2.0
2009,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,67+ years,pct.,4300,4.7
2010,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,67+ years,pct.,4300,4.7
2011,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,67+ years,pct.,4300,3.4
2012,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,67+ years,pct.,4300,2.7
2013,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,67+ years,pct.,4300,1.6
2014,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,67+ years,pct.,4300,1.9
2015,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,67+ years,pct.,4300,1.9
2016,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,67+ years,pct.,4300,1.4
2017,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,67+ years,pct.,4300,2.7
2018,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,67+ years,pct.,4300,2.2
2019,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,67+ years,pct.,4300,1.0
2020,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,67+ years,pct.,4300,1.1
2021,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,67+ years,pct.,4300,0.6
2022,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",,67+ years,pct.,4300,0.9
2009,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,,pct.,4300,4.8
2010,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,,pct.,4300,3.5
2011,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,,pct.,4300,4.6
2012,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,,pct.,4300,5.1
2013,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,,pct.,4300,4.7
2014,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,,pct.,4300,4.2
2015,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,,pct.,4300,3.2
2016,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,,pct.,4300,3.3
2017,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,,pct.,4300,3.4
2018,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,,pct.,4300,2.6
2019,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,,pct.,4300,2.1
2020,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,,pct.,4300,2.0
2021,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,,pct.,4300,2.5
2022,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,,pct.,4300,2.4
2009,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,00-17 years,pct.,4300,7.9
2010,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,00-17 years,pct.,4300,4.0
2011,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,00-17 years,pct.,4300,5.8
2012,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,00-17 years,pct.,4300,8.0
2013,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,00-17 years,pct.,4300,7.5
2014,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,00-17 years,pct.,4300,6.8
2015,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,00-17 years,pct.,4300,5.1
2016,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,00-17 years,pct.,4300,4.5
2017,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,00-17 years,pct.,4300,4.6
2018,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,00-17 years,pct.,4300,3.0
2019,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,00-17 years,pct.,4300,2.2
2020,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,00-17 years,pct.,4300,3.2
2021,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,00-17 years,pct.,4300,3.8
2022,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,00-17 years,pct.,4300,3.5
2009,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,18-24 years,pct.,4300,5.5
2010,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,18-24 years,pct.,4300,4.7
2011,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,18-24 years,pct.,4300,9.2
2012,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,18-24 years,pct.,4300,6.3
2013,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,18-24 years,pct.,4300,6.0
2014,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,18-24 years,pct.,4300,5.0
2015,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,18-24 years,pct.,4300,2.8
2016,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,18-24 years,pct.,4300,3.6
2017,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,18-24 years,pct.,4300,4.3
2018,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,18-24 years,pct.,4300,0.7
2019,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,18-24 years,pct.,4300,0.7
2020,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,18-24 years,pct.,4300,3.5
2021,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,18-24 years,pct.,4300,1.4
2022,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,18-24 years,pct.,4300,1.3
2009,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,25-54 years,pct.,4300,3.5
2010,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,25-54 years,pct.,4300,2.9
2011,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,25-54 years,pct.,4300,4.4
2012,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,25-54 years,pct.,4300,5.6
2013,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,25-54 years,pct.,4300,5.1
2014,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,25-54 years,pct.,4300,4.5
2015,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,25-54 years,pct.,4300,3.8
2016,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,25-54 years,pct.,4300,4.0
2017,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,25-54 years,pct.,4300,3.1
2018,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,25-54 years,pct.,4300,2.8
2019,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,25-54 years,pct.,4300,2.7
2020,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,25-54 years,pct.,4300,1.4
2021,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,25-54 years,pct.,4300,2.5
2022,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,25-54 years,pct.,4300,2.8
2009,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,55-66 years,pct.,4300,2.5
2010,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,55-66 years,pct.,4300,2.6
2011,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,55-66 years,pct.,4300,0.9
2012,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,55-66 years,pct.,4300,0.8
2013,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,55-66 years,pct.,4300,1.2
2014,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,55-66 years,pct.,4300,1.6
2015,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,55-66 years,pct.,4300,0.8
2016,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,55-66 years,pct.,4300,1.6
2017,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,55-66 years,pct.,4300,2.0
2018,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,55-66 years,pct.,4300,2.3
2019,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,55-66 years,pct.,4300,1.9
2020,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,55-66 years,pct.,4300,1.8
2021,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,55-66 years,pct.,4300,2.2
2022,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,55-66 years,pct.,4300,1.9
2009,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,67+ years,pct.,4300,4.1
2010,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,67+ years,pct.,4300,4.0
2011,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,67+ years,pct.,4300,3.6
2012,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,67+ years,pct.,4300,2.5
2013,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,67+ years,pct.,4300,1.7
2014,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,67+ years,pct.,4300,1.7
2015,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,67+ years,pct.,4300,1.0
2016,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,67+ years,pct.,4300,1.3
2017,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,67+ years,pct.,4300,3.0
2018,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,67+ years,pct.,4300,2.5
2019,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,67+ years,pct.,4300,1.6
2020,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,67+ years,pct.,4300,1.3
2021,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,67+ years,pct.,4300,0.9
2022,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Males,67+ years,pct.,4300,0.9
2009,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,,pct.,4300,3.8
2010,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,,pct.,4300,3.6
2011,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,,pct.,4300,4.1
2012,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,,pct.,4300,4.8
2013,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,,pct.,4300,3.8
2014,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,,pct.,4300,3.4
2015,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,,pct.,4300,2.9
2016,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,,pct.,4300,2.9
2017,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,,pct.,4300,3.2
2018,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,,pct.,4300,2.2
2019,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,,pct.,4300,2.0
2020,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,,pct.,4300,1.6
2021,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,,pct.,4300,2.2
2022,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,,pct.,4300,2.5
2009,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,00-17 years,pct.,4300,5.5
2010,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,00-17 years,pct.,4300,4.2
2011,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,00-17 years,pct.,4300,6.6
2012,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,00-17 years,pct.,4300,8.7
2013,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,00-17 years,pct.,4300,6.5
2014,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,00-17 years,pct.,4300,5.9
2015,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,00-17 years,pct.,4300,3.5
2016,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,00-17 years,pct.,4300,3.7
2017,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,00-17 years,pct.,4300,4.8
2018,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,00-17 years,pct.,4300,3.0
2019,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,00-17 years,pct.,4300,3.2
2020,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,00-17 years,pct.,4300,1.4
2021,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,00-17 years,pct.,4300,3.5
2022,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,00-17 years,pct.,4300,4.4
2009,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,18-24 years,pct.,4300,1.1
2010,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,18-24 years,pct.,4300,1.1
2011,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,18-24 years,pct.,4300,3.7
2012,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,18-24 years,pct.,4300,4.5
2013,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,18-24 years,pct.,4300,3.9
2014,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,18-24 years,pct.,4300,1.6
2015,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,18-24 years,pct.,4300,1.0
2016,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,18-24 years,pct.,4300,2.9
2017,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,18-24 years,pct.,4300,2.8
2018,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,18-24 years,pct.,4300,1.2
2019,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,18-24 years,pct.,4300,0.0
2020,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,18-24 years,pct.,4300,1.2
2021,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,18-24 years,pct.,4300,0.6
2022,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,18-24 years,pct.,4300,1.2
2009,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,25-54 years,pct.,4300,2.3
2010,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,25-54 years,pct.,4300,2.5
2011,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,25-54 years,pct.,4300,3.1
2012,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,25-54 years,pct.,4300,3.3
2013,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,25-54 years,pct.,4300,2.6
2014,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,25-54 years,pct.,4300,2.3
2015,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,25-54 years,pct.,4300,2.8
2016,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,25-54 years,pct.,4300,2.1
2017,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,25-54 years,pct.,4300,2.1
2018,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,25-54 years,pct.,4300,1.6
2019,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,25-54 years,pct.,4300,2.1
2020,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,25-54 years,pct.,4300,1.6
2021,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,25-54 years,pct.,4300,2.5
2022,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,25-54 years,pct.,4300,2.3
2009,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,55-66 years,pct.,4300,5.0
2010,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,55-66 years,pct.,4300,5.5
2011,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,55-66 years,pct.,4300,3.0
2012,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,55-66 years,pct.,4300,4.0
2013,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,55-66 years,pct.,4300,4.5
2014,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,55-66 years,pct.,4300,4.5
2015,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,55-66 years,pct.,4300,3.5
2016,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,55-66 years,pct.,4300,5.2
2017,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,55-66 years,pct.,4300,4.3
2018,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,55-66 years,pct.,4300,3.5
2019,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,55-66 years,pct.,4300,2.8
2020,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,55-66 years,pct.,4300,2.9
2021,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,55-66 years,pct.,4300,2.4
2022,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,55-66 years,pct.,4300,2.1
2009,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,67+ years,pct.,4300,5.2
2010,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,67+ years,pct.,4300,5.5
2011,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,67+ years,pct.,4300,3.3
2012,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,67+ years,pct.,4300,2.9
2013,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,67+ years,pct.,4300,1.4
2014,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,67+ years,pct.,4300,2.1
2015,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,67+ years,pct.,4300,2.8
2016,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,67+ years,pct.,4300,1.4
2017,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,67+ years,pct.,4300,2.4
2018,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,67+ years,pct.,4300,2.0
2019,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,67+ years,pct.,4300,0.3
2020,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,67+ years,pct.,4300,0.9
2021,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,67+ years,pct.,4300,0.3
2022,Carbon dioxide emissions from fuel combustion,"Streymoy region, north",Females,67+ years,pct.,4300,0.9
2009,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,,pct.,4700,2.9
2010,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,,pct.,4700,3.9
2011,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,,pct.,4700,4.6
2012,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,,pct.,4700,4.7
2013,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,,pct.,4700,3.5
2014,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,,pct.,4700,3.5
2015,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,,pct.,4700,3.3
2016,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,,pct.,4700,3.3
2017,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,,pct.,4700,3.0
2018,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,,pct.,4700,2.8
2019,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,,pct.,4700,2.6
2020,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,,pct.,4700,2.2
2021,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,,pct.,4700,2.6
2022,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,,pct.,4700,2.7
2009,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,00-17 years,pct.,4700,2.9
2010,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,00-17 years,pct.,4700,4.2
2011,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,00-17 years,pct.,4700,5.3
2012,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,00-17 years,pct.,4700,5.4
2013,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,00-17 years,pct.,4700,4.3
2014,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,00-17 years,pct.,4700,4.1
2015,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,00-17 years,pct.,4700,3.8
2016,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,00-17 years,pct.,4700,3.6
2017,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,00-17 years,pct.,4700,3.4
2018,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,00-17 years,pct.,4700,3.0
2019,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,00-17 years,pct.,4700,3.0
2020,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,00-17 years,pct.,4700,2.6
2021,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,00-17 years,pct.,4700,2.9
2022,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,00-17 years,pct.,4700,3.2
2009,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,18-24 years,pct.,4700,3.0
2010,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,18-24 years,pct.,4700,5.0
2011,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,18-24 years,pct.,4700,7.3
2012,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,18-24 years,pct.,4700,7.8
2013,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,18-24 years,pct.,4700,4.8
2014,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,18-24 years,pct.,4700,5.8
2015,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,18-24 years,pct.,4700,5.5
2016,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,18-24 years,pct.,4700,4.4
2017,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,18-24 years,pct.,4700,3.8
2018,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,18-24 years,pct.,4700,3.8
2019,Carbon dioxide emissions from fuel combustion,"Streymoy region, south",,18-24 years,pct.,4700,3.7
