Year,Series,party,unit,Value
2000,Local goverment,Sørvágur municipality,Proportion of seats held by women,12.5
2000,Local goverment,Sørvágur municipality,Seats held by women,1.0
2000,Local goverment,Sørvágur municipality,Number of seats,8.0
2004,Local goverment,Sørvágur municipality,Proportion of seats held by women,28.6
2004,Local goverment,Sørvágur municipality,Seats held by women,2.0
2004,Local goverment,Sørvágur municipality,Number of seats,7.0
2012,Local goverment,Sørvágur municipality,Proportion of seats held by women,14.3
2012,Local goverment,Sørvágur municipality,Seats held by women,1.0
2012,Local goverment,Sørvágur municipality,Number of seats,7.0
2016,Local goverment,Sørvágur municipality,Proportion of seats held by women,57.1
2016,Local goverment,Sørvágur municipality,Seats held by women,4.0
2016,Local goverment,Sørvágur municipality,Number of seats,7.0
2020,Local goverment,Sørvágur municipality,Proportion of seats held by women,28.6
2020,Local goverment,Sørvágur municipality,Seats held by women,2.0
2020,Local goverment,Sørvágur municipality,Number of seats,7.0
2024,Local goverment,Sørvágur municipality,Proportion of seats held by women,28.6
2024,Local goverment,Sørvágur municipality,Seats held by women,2.0
2024,Local goverment,Sørvágur municipality,Number of seats,7.0
1992,Local goverment,Sumba municipality,Proportion of seats held by women,0.0
1992,Local goverment,Sumba municipality,Seats held by women,0.0
1992,Local goverment,Sumba municipality,Number of seats,5.0
1996,Local goverment,Sumba municipality,Proportion of seats held by women,0.0
1996,Local goverment,Sumba municipality,Seats held by women,0.0
1996,Local goverment,Sumba municipality,Number of seats,5.0
2000,Local goverment,Sumba municipality,Proportion of seats held by women,0.0
2000,Local goverment,Sumba municipality,Seats held by women,0.0
2000,Local goverment,Sumba municipality,Number of seats,5.0
2004,Local goverment,Sumba municipality,Proportion of seats held by women,0.0
2004,Local goverment,Sumba municipality,Seats held by women,0.0
2004,Local goverment,Sumba municipality,Number of seats,5.0
2012,Local goverment,Sumba municipality,Proportion of seats held by women,0.0
2012,Local goverment,Sumba municipality,Seats held by women,0.0
2012,Local goverment,Sumba municipality,Number of seats,5.0
2016,Local goverment,Sumba municipality,Proportion of seats held by women,0.0
2016,Local goverment,Sumba municipality,Seats held by women,0.0
2016,Local goverment,Sumba municipality,Number of seats,5.0
2020,Local goverment,Sumba municipality,Proportion of seats held by women,40.0
2020,Local goverment,Sumba municipality,Seats held by women,2.0
2020,Local goverment,Sumba municipality,Number of seats,5.0
2024,Local goverment,Sumba municipality,Proportion of seats held by women,60.0
2024,Local goverment,Sumba municipality,Seats held by women,3.0
2024,Local goverment,Sumba municipality,Number of seats,5.0
1992,Local goverment,Sunda municipality,Proportion of seats held by women,0.0
1992,Local goverment,Sunda municipality,Seats held by women,0.0
1992,Local goverment,Sunda municipality,Number of seats,12.0
1996,Local goverment,Sunda municipality,Proportion of seats held by women,0.0
1996,Local goverment,Sunda municipality,Seats held by women,0.0
1996,Local goverment,Sunda municipality,Number of seats,12.0
2000,Local goverment,Sunda municipality,Proportion of seats held by women,25.0
2000,Local goverment,Sunda municipality,Seats held by women,4.0
2000,Local goverment,Sunda municipality,Number of seats,16.0
2004,Local goverment,Sunda municipality,Proportion of seats held by women,18.2
2004,Local goverment,Sunda municipality,Seats held by women,2.0
2004,Local goverment,Sunda municipality,Number of seats,11.0
2012,Local goverment,Sunda municipality,Proportion of seats held by women,27.3
2012,Local goverment,Sunda municipality,Seats held by women,3.0
2012,Local goverment,Sunda municipality,Number of seats,11.0
2016,Local goverment,Sunda municipality,Proportion of seats held by women,36.4
2016,Local goverment,Sunda municipality,Seats held by women,4.0
2016,Local goverment,Sunda municipality,Number of seats,11.0
2020,Local goverment,Sunda municipality,Proportion of seats held by women,9.1
2020,Local goverment,Sunda municipality,Seats held by women,1.0
2020,Local goverment,Sunda municipality,Number of seats,11.0
2024,Local goverment,Sunda municipality,Proportion of seats held by women,45.5
2024,Local goverment,Sunda municipality,Seats held by women,5.0
2024,Local goverment,Sunda municipality,Number of seats,11.0
1992,Local goverment,Svínoy municipality,Proportion of seats held by women,0.0
1992,Local goverment,Svínoy municipality,Seats held by women,0.0
1992,Local goverment,Svínoy municipality,Number of seats,5.0
1996,Local goverment,Svínoy municipality,Proportion of seats held by women,0.0
1996,Local goverment,Svínoy municipality,Seats held by women,0.0
1996,Local goverment,Svínoy municipality,Number of seats,5.0
2000,Local goverment,Svínoy municipality,Proportion of seats held by women,0.0
2000,Local goverment,Svínoy municipality,Seats held by women,0.0
2000,Local goverment,Svínoy municipality,Number of seats,2.0
2004,Local goverment,Svínoy municipality,Proportion of seats held by women,50.0
2004,Local goverment,Svínoy municipality,Seats held by women,1.0
2004,Local goverment,Svínoy municipality,Number of seats,2.0
1992,Local goverment,Tórshavn municipality,Proportion of seats held by women,26.7
1992,Local goverment,Tórshavn municipality,Seats held by women,4.0
1992,Local goverment,Tórshavn municipality,Number of seats,15.0
1996,Local goverment,Tórshavn municipality,Proportion of seats held by women,25.0
1996,Local goverment,Tórshavn municipality,Seats held by women,4.0
1996,Local goverment,Tórshavn municipality,Number of seats,16.0
2000,Local goverment,Tórshavn municipality,Proportion of seats held by women,20.0
2000,Local goverment,Tórshavn municipality,Seats held by women,3.0
2000,Local goverment,Tórshavn municipality,Number of seats,15.0
2004,Local goverment,Tórshavn municipality,Proportion of seats held by women,46.2
2004,Local goverment,Tórshavn municipality,Seats held by women,6.0
2004,Local goverment,Tórshavn municipality,Number of seats,13.0
2012,Local goverment,Tórshavn municipality,Proportion of seats held by women,46.2
2012,Local goverment,Tórshavn municipality,Seats held by women,6.0
2012,Local goverment,Tórshavn municipality,Number of seats,13.0
2016,Local goverment,Tórshavn municipality,Proportion of seats held by women,61.5
2016,Local goverment,Tórshavn municipality,Seats held by women,8.0
2016,Local goverment,Tórshavn municipality,Number of seats,13.0
2020,Local goverment,Tórshavn municipality,Proportion of seats held by women,53.8
2020,Local goverment,Tórshavn municipality,Seats held by women,7.0
2020,Local goverment,Tórshavn municipality,Number of seats,13.0
2024,Local goverment,Tórshavn municipality,Proportion of seats held by women,38.5
2024,Local goverment,Tórshavn municipality,Seats held by women,5.0
2024,Local goverment,Tórshavn municipality,Number of seats,13.0
1992,Local goverment,Tvøroyri municipality,Proportion of seats held by women,16.7
1992,Local goverment,Tvøroyri municipality,Seats held by women,1.0
1992,Local goverment,Tvøroyri municipality,Number of seats,6.0
1996,Local goverment,Tvøroyri municipality,Proportion of seats held by women,0.0
1996,Local goverment,Tvøroyri municipality,Seats held by women,0.0
1996,Local goverment,Tvøroyri municipality,Number of seats,7.0
2000,Local goverment,Tvøroyri municipality,Proportion of seats held by women,0.0
2000,Local goverment,Tvøroyri municipality,Seats held by women,0.0
2000,Local goverment,Tvøroyri municipality,Number of seats,7.0
2004,Local goverment,Tvøroyri municipality,Proportion of seats held by women,14.3
2004,Local goverment,Tvøroyri municipality,Seats held by women,1.0
2004,Local goverment,Tvøroyri municipality,Number of seats,7.0
2012,Local goverment,Tvøroyri municipality,Proportion of seats held by women,42.9
2012,Local goverment,Tvøroyri municipality,Seats held by women,3.0
2012,Local goverment,Tvøroyri municipality,Number of seats,7.0
2016,Local goverment,Tvøroyri municipality,Proportion of seats held by women,42.9
2016,Local goverment,Tvøroyri municipality,Seats held by women,3.0
2016,Local goverment,Tvøroyri municipality,Number of seats,7.0
2020,Local goverment,Tvøroyri municipality,Proportion of seats held by women,57.1
2020,Local goverment,Tvøroyri municipality,Seats held by women,4.0
2020,Local goverment,Tvøroyri municipality,Number of seats,7.0
2024,Local goverment,Tvøroyri municipality,Proportion of seats held by women,42.9
2024,Local goverment,Tvøroyri municipality,Seats held by women,3.0
2024,Local goverment,Tvøroyri municipality,Number of seats,7.0
2012,Local goverment,Vágar municipality,Proportion of seats held by women,18.2
2012,Local goverment,Vágar municipality,Seats held by women,2.0
2012,Local goverment,Vágar municipality,Number of seats,11.0
2016,Local goverment,Vágar municipality,Proportion of seats held by women,27.3
2016,Local goverment,Vágar municipality,Seats held by women,3.0
2016,Local goverment,Vágar municipality,Number of seats,11.0
2020,Local goverment,Vágar municipality,Proportion of seats held by women,45.5
2020,Local goverment,Vágar municipality,Seats held by women,5.0
2020,Local goverment,Vágar municipality,Number of seats,11.0
2024,Local goverment,Vágar municipality,Proportion of seats held by women,45.5
2024,Local goverment,Vágar municipality,Seats held by women,5.0
2024,Local goverment,Vágar municipality,Number of seats,11.0
1992,Local goverment,Vágur municipality,Proportion of seats held by women,0.0
1992,Local goverment,Vágur municipality,Seats held by women,0.0
1992,Local goverment,Vágur municipality,Number of seats,9.0
1996,Local goverment,Vágur municipality,Proportion of seats held by women,22.2
1996,Local goverment,Vágur municipality,Seats held by women,2.0
1996,Local goverment,Vágur municipality,Number of seats,9.0
2000,Local goverment,Vágur municipality,Proportion of seats held by women,22.2
2000,Local goverment,Vágur municipality,Seats held by women,2.0
2000,Local goverment,Vágur municipality,Number of seats,9.0
2004,Local goverment,Vágur municipality,Proportion of seats held by women,22.2
2004,Local goverment,Vágur municipality,Seats held by women,2.0
2004,Local goverment,Vágur municipality,Number of seats,9.0
2012,Local goverment,Vágur municipality,Proportion of seats held by women,33.3
2012,Local goverment,Vágur municipality,Seats held by women,3.0
2012,Local goverment,Vágur municipality,Number of seats,9.0
2016,Local goverment,Vágur municipality,Proportion of seats held by women,44.4
2016,Local goverment,Vágur municipality,Seats held by women,4.0
2016,Local goverment,Vágur municipality,Number of seats,9.0
2020,Local goverment,Vágur municipality,Proportion of seats held by women,33.3
2020,Local goverment,Vágur municipality,Seats held by women,3.0
2020,Local goverment,Vágur municipality,Number of seats,9.0
2024,Local goverment,Vágur municipality,Proportion of seats held by women,33.3
2024,Local goverment,Vágur municipality,Seats held by women,3.0
2024,Local goverment,Vágur municipality,Number of seats,9.0
1992,Local goverment,Vestmanna municipality,Proportion of seats held by women,71.4
1992,Local goverment,Vestmanna municipality,Seats held by women,5.0
1992,Local goverment,Vestmanna municipality,Number of seats,7.0
1996,Local goverment,Vestmanna municipality,Proportion of seats held by women,57.1
1996,Local goverment,Vestmanna municipality,Seats held by women,4.0
1996,Local goverment,Vestmanna municipality,Number of seats,7.0
2000,Local goverment,Vestmanna municipality,Proportion of seats held by women,57.1
2000,Local goverment,Vestmanna municipality,Seats held by women,4.0
2000,Local goverment,Vestmanna municipality,Number of seats,7.0
2004,Local goverment,Vestmanna municipality,Proportion of seats held by women,14.3
2004,Local goverment,Vestmanna municipality,Seats held by women,1.0
2004,Local goverment,Vestmanna municipality,Number of seats,7.0
2012,Local goverment,Vestmanna municipality,Proportion of seats held by women,42.9
2012,Local goverment,Vestmanna municipality,Seats held by women,3.0
2012,Local goverment,Vestmanna municipality,Number of seats,7.0
2016,Local goverment,Vestmanna municipality,Proportion of seats held by women,42.9
2016,Local goverment,Vestmanna municipality,Seats held by women,3.0
2016,Local goverment,Vestmanna municipality,Number of seats,7.0
2020,Local goverment,Vestmanna municipality,Proportion of seats held by women,57.1
2020,Local goverment,Vestmanna municipality,Seats held by women,4.0
2020,Local goverment,Vestmanna municipality,Number of seats,7.0
2024,Local goverment,Vestmanna municipality,Proportion of seats held by women,28.6
2024,Local goverment,Vestmanna municipality,Seats held by women,2.0
2024,Local goverment,Vestmanna municipality,Number of seats,7.0
1992,Local goverment,Viðareiði municipality,Proportion of seats held by women,40.0
1992,Local goverment,Viðareiði municipality,Seats held by women,2.0
1992,Local goverment,Viðareiði municipality,Number of seats,5.0
1996,Local goverment,Viðareiði municipality,Proportion of seats held by women,40.0
1996,Local goverment,Viðareiði municipality,Seats held by women,2.0
1996,Local goverment,Viðareiði municipality,Number of seats,5.0
2000,Local goverment,Viðareiði municipality,Proportion of seats held by women,0.0
2000,Local goverment,Viðareiði municipality,Seats held by women,0.0
2000,Local goverment,Viðareiði municipality,Number of seats,5.0
2004,Local goverment,Viðareiði municipality,Proportion of seats held by women,20.0
2004,Local goverment,Viðareiði municipality,Seats held by women,1.0
2004,Local goverment,Viðareiði municipality,Number of seats,5.0
2012,Local goverment,Viðareiði municipality,Proportion of seats held by women,0.0
2012,Local goverment,Viðareiði municipality,Seats held by women,0.0
2012,Local goverment,Viðareiði municipality,Number of seats,5.0
2016,Local goverment,Viðareiði municipality,Proportion of seats held by women,40.0
2016,Local goverment,Viðareiði municipality,Seats held by women,2.0
2016,Local goverment,Viðareiði municipality,Number of seats,5.0
2020,Local goverment,Viðareiði municipality,Proportion of seats held by women,20.0
2020,Local goverment,Viðareiði municipality,Seats held by women,1.0
2020,Local goverment,Viðareiði municipality,Number of seats,5.0
2024,Local goverment,Viðareiði municipality,Proportion of seats held by women,20.0
2024,Local goverment,Viðareiði municipality,Seats held by women,1.0
2024,Local goverment,Viðareiði municipality,Number of seats,5.0
